ip,port,vulnerability_count
192.168.1.1,443,18
192.168.1.18,8834,17
192.168.1.20,10000,17
192.168.1.12,3001,14
192.168.1.20,22,12
192.168.1.20,80,7
192.168.1.1,80,6
192.168.1.18,111,6
192.168.1.17,80,5
192.168.1.1,49152,5
192.168.1.12,7000,4
192.168.1.12,1961,4
192.168.1.12,1756,4
192.168.1.1,5555,4
192.168.1.3,7000,4
192.168.1.3,5000,4
192.168.1.4,7000,4
192.168.1.8,2869,4
192.168.1.18,1716,3
192.168.1.8,10247,3
192.168.1.1,53,3
192.168.1.18,902,3
192.168.1.1,548,3
192.168.1.12,36866,3
192.168.1.12,1736,2
192.168.1.12,18181,2
192.168.1.12,1956,2
192.168.1.11,62078,2
192.168.1.1,1900,2
192.168.1.1,3333,2
192.168.1.12,1327,2
192.168.1.12,1381,2
192.168.1.12,1266,2
192.168.1.1,33344,2
192.168.1.11,49152,2
192.168.1.12,1728,2
192.168.1.17,135,2
192.168.1.12,3000,2
192.168.1.3,54051,2
192.168.1.12,7250,1
192.168.1.1,631,1
192.168.1.1,67,1
192.168.1.1,20005,1
192.168.1.12,5353,1
192.168.1.17,49674,1
192.168.1.17,2179,1
192.168.1.18,22,1
192.168.1.17,445,1
192.168.1.17,49664,1
192.168.1.17,49665,1
192.168.1.17,49666,1
192.168.1.17,49667,1
192.168.1.17,49668,1
192.168.1.22,5353,1
192.168.1.3,57621,1
192.168.1.3,5353,1
192.168.1.20,5353,1
192.168.1.4,137,1
192.168.1.4,5353,1
192.168.1.4,51157,1
192.168.1.4,5000,1
192.168.1.8,1900,1
