ip,port,severity_score,exploit_score,distinct_vulnerabilities,combined_score
192.168.1.20,22,1.0,1.0,0.7333333333333334,0.9466666666666668
192.168.1.18,8834,0.3529411764705882,0.0,1.0,0.3764705882352941
192.168.1.20,10000,0.3529411764705882,0.0,1.0,0.3764705882352941
192.168.1.12,3001,0.21428571428571427,0.0,0.8,0.2671428571428572
192.168.1.20,80,0.0,0.0,0.4,0.08000000000000002
192.168.1.12,7000,0.0,0.0,0.2,0.04000000000000001
192.168.1.4,7000,0.0,0.0,0.2,0.04000000000000001
192.168.1.3,7000,0.0,0.0,0.2,0.04000000000000001
192.168.1.3,5000,0.0,0.0,0.2,0.04000000000000001
192.168.1.12,1756,0.0,0.0,0.2,0.04000000000000001
192.168.1.12,1961,0.0,0.0,0.2,0.04000000000000001
192.168.1.18,111,0.0,0.0,0.2,0.04000000000000001
192.168.1.8,10247,0.0,0.0,0.13333333333333336,0.026666666666666672
192.168.1.18,902,0.0,0.0,0.13333333333333336,0.026666666666666672
192.168.1.8,2869,0.0,0.0,0.13333333333333336,0.026666666666666672
192.168.1.12,36866,0.0,0.0,0.13333333333333336,0.026666666666666672
192.168.1.12,1728,0.0,0.0,0.06666666666666667,0.013333333333333334
192.168.1.12,18181,0.0,0.0,0.06666666666666667,0.013333333333333334
192.168.1.12,1266,0.0,0.0,0.06666666666666667,0.013333333333333334
192.168.1.12,1327,0.0,0.0,0.06666666666666667,0.013333333333333334
192.168.1.12,1381,0.0,0.0,0.06666666666666667,0.013333333333333334
192.168.1.3,54051,0.0,0.0,0.06666666666666667,0.013333333333333334
192.168.1.12,1736,0.0,0.0,0.06666666666666667,0.013333333333333334
192.168.1.11,49152,0.0,0.0,0.06666666666666667,0.013333333333333334
192.168.1.12,1956,0.0,0.0,0.06666666666666667,0.013333333333333334
192.168.1.12,3000,0.0,0.0,0.06666666666666667,0.013333333333333334
192.168.1.11,62078,0.0,0.0,0.06666666666666667,0.013333333333333334
192.168.1.18,1716,0.0,0.0,0.06666666666666667,0.013333333333333334
192.168.1.20,5353,0.0,0.0,0.0,0.0
192.168.1.22,5353,0.0,0.0,0.0,0.0
192.168.1.12,7250,0.0,0.0,0.0,0.0
192.168.1.3,5353,0.0,0.0,0.0,0.0
192.168.1.3,57621,0.0,0.0,0.0,0.0
192.168.1.4,137,0.0,0.0,0.0,0.0
192.168.1.4,5000,0.0,0.0,0.0,0.0
192.168.1.4,51157,0.0,0.0,0.0,0.0
192.168.1.4,5353,0.0,0.0,0.0,0.0
192.168.1.18,22,0.0,0.0,0.0,0.0
192.168.1.8,1900,0.0,0.0,0.0,0.0
192.168.1.12,5353,0.0,0.0,0.0,0.0
