ip,port,severity_score,exploit_score,distinct_vulnerabilities,combined_score
192.168.1.1,443,0.3888888888888889,0.75,1.0,0.6194444444444445
192.168.1.20,22,0.3333333333333333,1.0,0.6875,0.6041666666666667
192.168.1.1,1900,1.0,0.25,0.0625,0.5874999999999999
192.168.1.1,548,0.6666666666666666,0.25,0.125,0.43333333333333335
192.168.1.1,80,0.5,0.25,0.3125,0.3875
192.168.1.1,67,0.5,0.0,0.0,0.25
192.168.1.18,8834,0.11764705882352941,0.0,0.9375,0.24632352941176472
192.168.1.20,10000,0.11764705882352941,0.0,0.9375,0.24632352941176472
192.168.1.12,3001,0.07142857142857142,0.0,0.75,0.18571428571428572
192.168.1.20,80,0.0,0.0,0.375,0.07500000000000001
192.168.1.1,49152,0.0,0.0,0.25,0.05
192.168.1.17,80,0.0,0.0,0.25,0.05
192.168.1.12,1756,0.0,0.0,0.1875,0.037500000000000006
192.168.1.1,5555,0.0,0.0,0.1875,0.037500000000000006
192.168.1.3,7000,0.0,0.0,0.1875,0.037500000000000006
192.168.1.3,5000,0.0,0.0,0.1875,0.037500000000000006
192.168.1.18,111,0.0,0.0,0.1875,0.037500000000000006
192.168.1.12,1961,0.0,0.0,0.1875,0.037500000000000006
192.168.1.12,7000,0.0,0.0,0.1875,0.037500000000000006
192.168.1.4,7000,0.0,0.0,0.1875,0.037500000000000006
192.168.1.18,902,0.0,0.0,0.125,0.025
192.168.1.8,2869,0.0,0.0,0.125,0.025
192.168.1.8,10247,0.0,0.0,0.125,0.025
192.168.1.12,36866,0.0,0.0,0.125,0.025
192.168.1.1,53,0.0,0.0,0.0625,0.0125
192.168.1.11,62078,0.0,0.0,0.0625,0.0125
192.168.1.12,1956,0.0,0.0,0.0625,0.0125
192.168.1.12,18181,0.0,0.0,0.0625,0.0125
192.168.1.1,33344,0.0,0.0,0.0625,0.0125
192.168.1.11,49152,0.0,0.0,0.0625,0.0125
192.168.1.12,1327,0.0,0.0,0.0625,0.0125
192.168.1.12,1381,0.0,0.0,0.0625,0.0125
192.168.1.12,1266,0.0,0.0,0.0625,0.0125
192.168.1.1,3333,0.0,0.0,0.0625,0.0125
192.168.1.12,1728,0.0,0.0,0.0625,0.0125
192.168.1.12,1736,0.0,0.0,0.0625,0.0125
192.168.1.17,135,0.0,0.0,0.0625,0.0125
192.168.1.12,3000,0.0,0.0,0.0625,0.0125
192.168.1.18,1716,0.0,0.0,0.0625,0.0125
192.168.1.3,54051,0.0,0.0,0.0625,0.0125
192.168.1.1,20005,0.0,0.0,0.0,0.0
192.168.1.1,631,0.0,0.0,0.0,0.0
192.168.1.12,7250,0.0,0.0,0.0,0.0
192.168.1.12,5353,0.0,0.0,0.0,0.0
192.168.1.17,49674,0.0,0.0,0.0,0.0
192.168.1.17,2179,0.0,0.0,0.0,0.0
192.168.1.18,22,0.0,0.0,0.0,0.0
192.168.1.17,445,0.0,0.0,0.0,0.0
192.168.1.17,49664,0.0,0.0,0.0,0.0
192.168.1.17,49665,0.0,0.0,0.0,0.0
192.168.1.17,49666,0.0,0.0,0.0,0.0
192.168.1.17,49667,0.0,0.0,0.0,0.0
192.168.1.17,49668,0.0,0.0,0.0,0.0
192.168.1.22,5353,0.0,0.0,0.0,0.0
192.168.1.3,57621,0.0,0.0,0.0,0.0
192.168.1.3,5353,0.0,0.0,0.0,0.0
192.168.1.20,5353,0.0,0.0,0.0,0.0
192.168.1.4,137,0.0,0.0,0.0,0.0
192.168.1.4,5353,0.0,0.0,0.0,0.0
192.168.1.4,51157,0.0,0.0,0.0,0.0
192.168.1.4,5000,0.0,0.0,0.0,0.0
192.168.1.8,1900,0.0,0.0,0.0,0.0
